date,vehicle_category,maker,electric_vehicles_sold,state,total_vehicles_sold
01-Apr-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,398
01-Apr-22,2-Wheelers,OKAYA EV,0,Sikkim,361
01-May-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,113
01-Jun-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,98
01-Jul-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,229
01-Aug-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,244
01-Sep-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,458
01-Oct-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,452
01-Nov-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,489
01-Apr-21,4-Wheelers,BYD India,0,Sikkim,408
01-Apr-21,4-Wheelers,PCA Automobiles,0,Sikkim,540
01-Apr-21,4-Wheelers,BMW India,0,Sikkim,355
01-Apr-21,4-Wheelers,Volvo Auto India,0,Sikkim,455
01-Apr-21,4-Wheelers,KIA Motors,0,Sikkim,345
01-Apr-22,4-Wheelers,PCA Automobiles,0,Sikkim,478
01-Apr-22,4-Wheelers,Volvo Auto India,0,Sikkim,351
01-Apr-22,4-Wheelers,KIA Motors,0,Sikkim,454
01-May-21,4-Wheelers,BYD India,0,Sikkim,394
01-May-21,4-Wheelers,PCA Automobiles,0,Sikkim,400
01-May-21,4-Wheelers,BMW India,0,Sikkim,270
01-May-21,4-Wheelers,Mercedes -Benz AG,0,Sikkim,384
01-May-21,4-Wheelers,Volvo Auto India,0,Sikkim,371
01-May-21,4-Wheelers,KIA Motors,0,Sikkim,460
01-May-22,4-Wheelers,PCA Automobiles,0,Sikkim,390
01-May-22,4-Wheelers,Volvo Auto India,0,Sikkim,455
01-May-22,4-Wheelers,KIA Motors,0,Sikkim,380
01-Jun-21,4-Wheelers,BYD India,0,Sikkim,461
01-Jun-21,4-Wheelers,PCA Automobiles,0,Sikkim,421
01-Jun-21,4-Wheelers,BMW India,0,Sikkim,429
01-Jun-21,4-Wheelers,Volvo Auto India,0,Sikkim,446
01-Jun-21,4-Wheelers,KIA Motors,0,Sikkim,409
01-Jun-22,4-Wheelers,PCA Automobiles,0,Sikkim,439
01-Jun-22,4-Wheelers,Volvo Auto India,0,Sikkim,394
01-Jun-22,4-Wheelers,KIA Motors,0,Sikkim,421
01-Jul-21,4-Wheelers,BYD India,0,Sikkim,443
01-Jul-21,4-Wheelers,PCA Automobiles,0,Sikkim,581
01-Jul-21,4-Wheelers,BMW India,0,Sikkim,371
01-Jul-21,4-Wheelers,Volvo Auto India,0,Sikkim,340
01-Jul-21,4-Wheelers,KIA Motors,0,Sikkim,431
01-Jul-22,4-Wheelers,PCA Automobiles,0,Sikkim,411
01-Jul-22,4-Wheelers,Volvo Auto India,0,Sikkim,274
01-Jul-22,4-Wheelers,KIA Motors,0,Sikkim,288
01-Aug-21,4-Wheelers,BYD India,0,Sikkim,470
01-Aug-21,4-Wheelers,PCA Automobiles,0,Sikkim,420
01-Aug-21,4-Wheelers,BMW India,0,Sikkim,324
01-Aug-21,4-Wheelers,Volvo Auto India,0,Sikkim,364
01-Aug-21,4-Wheelers,KIA Motors,0,Sikkim,454
01-Aug-22,4-Wheelers,PCA Automobiles,0,Sikkim,505
01-Aug-22,4-Wheelers,Volvo Auto India,0,Sikkim,465
01-Aug-22,4-Wheelers,KIA Motors,0,Sikkim,439
01-Sep-21,4-Wheelers,BYD India,0,Sikkim,507
01-Sep-21,4-Wheelers,PCA Automobiles,0,Sikkim,448
01-Sep-21,4-Wheelers,BMW India,0,Sikkim,517
01-Sep-21,4-Wheelers,Volvo Auto India,0,Sikkim,457
01-Sep-21,4-Wheelers,KIA Motors,0,Sikkim,423
01-Sep-22,4-Wheelers,PCA Automobiles,0,Sikkim,371
01-Sep-22,4-Wheelers,Volvo Auto India,0,Sikkim,465
